species,archivo,ruta,observacion_id,usuario,fecha,licencia,atribucion,url_imagen,url_observacion
Astrocaryum malybo,obs_276651588.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Astrocaryum_malybo\obs_276651588.jpg,276651588,juandavidfernandez,2025-04-25,,"(c) Juan David Fernandez, all rights reserved",https://static.inaturalist.org/photos/496644984/large.jpg,https://www.inaturalist.org/observations/276651588
Astrocaryum triandrum,obs_19296903.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Astrocaryum_triandrum\obs_19296903.jpg,19296903,smejiadu,2018-12-26,cc-by-nc,"(c) Santi MD, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/29661906/large.jpeg,https://www.inaturalist.org/observations/19296903
Attalea amygdalina,obs_254503905.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Attalea_amygdalina\obs_254503905.jpg,254503905,alejandro_castano_naranjo,2024-12-08,cc-by-nc,"(c) Alejandro Castaño Naranjo, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/455879192/large.jpeg,https://www.inaturalist.org/observations/254503905
Attalea amygdalina,obs_201119069.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Attalea_amygdalina\obs_201119069.jpg,201119069,mateohernandezschmidt,2024-02-27,cc-by-nc-sa,"(c) Mateo Hernandez Schmidt, some rights reserved (CC BY-NC-SA)",https://inaturalist-open-data.s3.amazonaws.com/photos/354960503/large.jpeg,https://www.inaturalist.org/observations/201119069
Attalea amygdalina,obs_159045075.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Attalea_amygdalina\obs_159045075.jpg,159045075,ricardotejada,2023-04-28,cc-by-nc,"(c) ricardotejada, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/274779487/large.jpg,https://www.inaturalist.org/observations/159045075
Attalea amygdalina,obs_112385171.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Attalea_amygdalina\obs_112385171.jpg,112385171,ljvictoriaf,2022-04-15,cc-by-nc,"(c) Leiner Jair Victoria, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/189823941/large.jpeg,https://www.inaturalist.org/observations/112385171
Attalea amygdalina,obs_76979266.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Attalea_amygdalina\obs_76979266.jpg,76979266,juandavidfernandez,2021-05-03,,"(c) Juan David Fernandez, all rights reserved",https://static.inaturalist.org/photos/125884795/large.jpg,https://www.inaturalist.org/observations/76979266
Attalea cohune,obs_378665610.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Attalea_cohune\obs_378665610.jpg,378665610,snowykoii,2026-07-05,cc-by-nc,"(c) Madi Kelly, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/692578617/large.jpg,https://www.inaturalist.org/observations/378665610
Attalea cohune,obs_376930122.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Attalea_cohune\obs_376930122.jpg,376930122,amydeelish,2026-06-30,cc-by-nc,"(c) amydeelish, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/689223786/large.jpg,https://www.inaturalist.org/observations/376930122
Attalea cohune,obs_376586162.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Attalea_cohune\obs_376586162.jpg,376586162,fercab13,2026-06-27,cc-by-nc,"(c) fercab13, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/688559980/large.jpg,https://www.inaturalist.org/observations/376586162
Attalea cohune,obs_376534314.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Attalea_cohune\obs_376534314.jpg,376534314,cshure,2026-06-29,cc-by-nc,"(c) cshure, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/688461456/large.jpg,https://www.inaturalist.org/observations/376534314
Attalea cohune,obs_375990706.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Attalea_cohune\obs_375990706.jpg,375990706,archaeo_vic,2026-06-27,cc-by-nc,"(c) archaeo_vic, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/687410387/large.jpg,https://www.inaturalist.org/observations/375990706
Attalea colenda,obs_345617878.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Attalea_colenda\obs_345617878.jpg,345617878,philippe_34730,2008-06-14,cc-by,"(c) Philippe Hornus, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/629887433/large.jpg,https://www.inaturalist.org/observations/345617878
Attalea colenda,obs_338131563.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Attalea_colenda\obs_338131563.jpg,338131563,amar16,2026-02-05,,"(c) Amarú Ramón Salcedo, all rights reserved",https://static.inaturalist.org/photos/614814066/large.jpg,https://www.inaturalist.org/observations/338131563
Attalea colenda,obs_330661088.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Attalea_colenda\obs_330661088.jpg,330661088,leightonreid,2025-12-13,cc-by-nc,"(c) Leighton Reid, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/599659256/large.jpg,https://www.inaturalist.org/observations/330661088
Attalea colenda,obs_269644879.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Attalea_colenda\obs_269644879.jpg,269644879,kevin0308,2025-04-10,cc-by-nc,"(c) Kevin Panchana, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/484847517/large.jpeg,https://www.inaturalist.org/observations/269644879
Attalea colenda,obs_263435661.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Attalea_colenda\obs_263435661.jpg,263435661,edison_garcia,2025-02-28,cc-by-nc,"(c) Genaro Edison García, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/473257242/large.jpg,https://www.inaturalist.org/observations/263435661
Attalea iguadummat,obs_238079094.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Attalea_iguadummat\obs_238079094.jpg,238079094,cicciocostarica,2024-08-26,cc-by-nc,"(c) Randall Jiménez, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/423809653/large.jpeg,https://www.inaturalist.org/observations/238079094
Attalea nucifera,obs_329237453.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Attalea_nucifera\obs_329237453.jpg,329237453,juanfcruzm,2025-11-14,cc-by-nc,"(c) Juan Francisco Cruz Mejía, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/596758733/large.jpg,https://www.inaturalist.org/observations/329237453
Attalea nucifera,obs_204145210.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Attalea_nucifera\obs_204145210.jpg,204145210,sguataquira,2022-04-05,cc-by-nc,"(c) sguataquira, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/360793865/large.jpg,https://www.inaturalist.org/observations/204145210
Bactris charnleyae,obs_29593947.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Bactris_charnleyae\obs_29593947.jpg,29593947,jmeerman,2008-03-04,cc-by-nc,"(c) Jan Meerman, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/46194116/large.jpeg,https://www.inaturalist.org/observations/29593947
Ceroxylon alpinum,obs_361388316.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_alpinum\obs_361388316.jpg,361388316,francisco_sornoza,2026-05-13,cc-by-nc,"(c) Pancho Sornoza, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/659531270/large.jpg,https://www.inaturalist.org/observations/361388316
Ceroxylon alpinum,obs_361388298.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_alpinum\obs_361388298.jpg,361388298,francisco_sornoza,2026-05-13,cc-by-nc,"(c) Pancho Sornoza, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/659531239/large.jpg,https://www.inaturalist.org/observations/361388298
Ceroxylon alpinum,obs_340938429.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_alpinum\obs_340938429.jpg,340938429,russhedley,2026-02-05,cc-by-nc,"(c) Russ Hedley, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/620538359/large.jpg,https://www.inaturalist.org/observations/340938429
Ceroxylon alpinum,obs_293819681.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_alpinum\obs_293819681.jpg,293819681,tilansiopedatum,2023-12-12,cc-by-nc,"(c) Sergio Álvarez Ortiz, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/528789414/large.jpg,https://www.inaturalist.org/observations/293819681
Ceroxylon alpinum,obs_265467045.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_alpinum\obs_265467045.jpg,265467045,tobias-spanner,2018-05-28,cc-by-nc,"(c) Tobias Spanner, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/476836988/large.jpg,https://www.inaturalist.org/observations/265467045
Ceroxylon ceriferum,obs_334255138.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_ceriferum\obs_334255138.jpg,334255138,wingnut,2026-01-10,cc-by-nc,"(c) George Armistead/Hillstar Nature, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/606964437/large.jpg,https://www.inaturalist.org/observations/334255138
Ceroxylon ceriferum,obs_331027599.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_ceriferum\obs_331027599.jpg,331027599,kenbehrens,2025-12-13,cc-by-nc,"(c) kenbehrens, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/600416600/large.jpg,https://www.inaturalist.org/observations/331027599
Ceroxylon ceriferum,obs_330995850.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_ceriferum\obs_330995850.jpg,330995850,delmar55000,2019-02-03,cc-by-nc,"(c) Delmar Rivera Herrera, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/600351922/large.jpg,https://www.inaturalist.org/observations/330995850
Ceroxylon ceriferum,obs_330863554.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_ceriferum\obs_330863554.jpg,330863554,davduf,2025-11-23,cc-by-nc,"(c) davduf, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/600071759/large.jpg,https://www.inaturalist.org/observations/330863554
Ceroxylon ceriferum,obs_330644891.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_ceriferum\obs_330644891.jpg,330644891,thibaudaronson,2025-12-12,cc-by-sa,"(c) Thibaud Aronson, some rights reserved (CC BY-SA)",https://inaturalist-open-data.s3.amazonaws.com/photos/599624712/large.jpg,https://www.inaturalist.org/observations/330644891
Ceroxylon parvifrons,obs_375568479.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_parvifrons\obs_375568479.jpg,375568479,juanc_munoz,2026-06-23,cc-by-nc,"(c) Juan Camilo Muñoz, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/686581737/large.jpg,https://www.inaturalist.org/observations/375568479
Ceroxylon parvifrons,obs_364335608.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_parvifrons\obs_364335608.jpg,364335608,marceparedesmosquera,2024-03-27,cc-by-nc,"(c) Adriana Paredes, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/665105901/large.jpg,https://www.inaturalist.org/observations/364335608
Ceroxylon parvifrons,obs_364326141.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_parvifrons\obs_364326141.jpg,364326141,marceparedesmosquera,2024-12-10,cc-by-nc,"(c) Adriana Paredes, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/665087756/large.jpg,https://www.inaturalist.org/observations/364326141
Ceroxylon parvifrons,obs_361717816.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_parvifrons\obs_361717816.jpg,361717816,nixonforerog,2010-01-10,,"(c) NIXON FORERO, all rights reserved",https://static.inaturalist.org/photos/660157729/large.jpg,https://www.inaturalist.org/observations/361717816
Ceroxylon parvifrons,obs_342235638.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_parvifrons\obs_342235638.jpg,342235638,prmck,2026-02-17,cc-by-nc,"(c) Zsombor Károlyi, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/623185030/large.jpg,https://www.inaturalist.org/observations/342235638
Ceroxylon quindiuense,obs_378064695.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_quindiuense\obs_378064695.jpg,378064695,juanpa0121,2026-07-04,cc-by-nc,"(c) Juan Pablo Nuñez, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/691419090/large.jpg,https://www.inaturalist.org/observations/378064695
Ceroxylon quindiuense,obs_375810533.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_quindiuense\obs_375810533.jpg,375810533,raul_h,2026-06-23,,"(c) Raul Henriquez, all rights reserved",https://static.inaturalist.org/photos/687073901/large.jpg,https://www.inaturalist.org/observations/375810533
Ceroxylon quindiuense,obs_375568498.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_quindiuense\obs_375568498.jpg,375568498,juanc_munoz,2026-06-23,cc-by-nc,"(c) Juan Camilo Muñoz, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/686594232/large.jpg,https://www.inaturalist.org/observations/375568498
Ceroxylon quindiuense,obs_370800732.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_quindiuense\obs_370800732.jpg,370800732,coralaviles,2026-05-30,cc-by-nc,"(c) coralaviles, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/677412592/large.jpg,https://www.inaturalist.org/observations/370800732
Ceroxylon quindiuense,obs_368755672.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_quindiuense\obs_368755672.jpg,368755672,santiago_gomez3,2026-06-05,,"(c) Santiago Gómez, all rights reserved",https://static.inaturalist.org/photos/673538654/large.jpg,https://www.inaturalist.org/observations/368755672
Ceroxylon sasaimae,obs_333999622.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_sasaimae\obs_333999622.jpg,333999622,kuzs,2026-01-08,cc-by,"(c) Camilo Segura, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/606445508/large.jpg,https://www.inaturalist.org/observations/333999622
Ceroxylon sasaimae,obs_312997729.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_sasaimae\obs_312997729.jpg,312997729,apipa,2025-06-10,cc-by-nc,"(c) Apipa, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/565182358/large.jpg,https://www.inaturalist.org/observations/312997729
Ceroxylon sasaimae,obs_267059222.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_sasaimae\obs_267059222.jpg,267059222,ecologistassupata,2025-03-07,cc-by-nc,"(c) Ecologistas Supatá, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/479872290/large.jpg,https://www.inaturalist.org/observations/267059222
Ceroxylon sasaimae,obs_265521258.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_sasaimae\obs_265521258.jpg,265521258,tobias-spanner,2018-05-24,cc-by-nc,"(c) Tobias Spanner, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/476947558/large.jpg,https://www.inaturalist.org/observations/265521258
Ceroxylon sasaimae,obs_265521257.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_sasaimae\obs_265521257.jpg,265521257,tobias-spanner,2018-05-23,cc-by-nc,"(c) Tobias Spanner, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/476947441/large.jpg,https://www.inaturalist.org/observations/265521257
Ceroxylon ventricosum,obs_301068904.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_ventricosum\obs_301068904.jpg,301068904,efrainfreire,2025-07-25,,"(c) Efrain Freire, all rights reserved",https://static.inaturalist.org/photos/542502451/large.jpg,https://www.inaturalist.org/observations/301068904
Ceroxylon ventricosum,obs_283495362.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_ventricosum\obs_283495362.jpg,283495362,kabirbosques,2025-05-23,cc-by-nc-nd,"(c) Kabir Montesinos, some rights reserved (CC BY-NC-ND)",https://inaturalist-open-data.s3.amazonaws.com/photos/509405660/large.jpg,https://www.inaturalist.org/observations/283495362
Ceroxylon ventricosum,obs_283495287.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_ventricosum\obs_283495287.jpg,283495287,kabirbosques,2025-05-23,cc-by-nc-nd,"(c) Kabir Montesinos, some rights reserved (CC BY-NC-ND)",https://inaturalist-open-data.s3.amazonaws.com/photos/509405491/large.jpg,https://www.inaturalist.org/observations/283495287
Ceroxylon ventricosum,obs_273498719.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_ventricosum\obs_273498719.jpg,273498719,gabriel-benavides,2025-04-25,cc-by-nc-nd,"(c) Gabriel Benavides, some rights reserved (CC BY-NC-ND)",https://inaturalist-open-data.s3.amazonaws.com/photos/491892128/large.jpg,https://www.inaturalist.org/observations/273498719
Ceroxylon ventricosum,obs_265909351.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_ventricosum\obs_265909351.jpg,265909351,kabirbosques,2025-03-18,cc-by-nc-nd,"(c) Kabir Montesinos, some rights reserved (CC BY-NC-ND)",https://inaturalist-open-data.s3.amazonaws.com/photos/477711486/large.jpeg,https://www.inaturalist.org/observations/265909351
Ceroxylon vogelianum,obs_375662859.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_vogelianum\obs_375662859.jpg,375662859,juanc_munoz,2026-06-24,cc-by-nc,"(c) Juan Camilo Muñoz, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/686778400/large.jpg,https://www.inaturalist.org/observations/375662859
Ceroxylon vogelianum,obs_353067325.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_vogelianum\obs_353067325.jpg,353067325,kabirbosques,2026-04-24,cc-by-nc-nd,"(c) Kabir Montesinos, some rights reserved (CC BY-NC-ND)",https://inaturalist-open-data.s3.amazonaws.com/photos/644265228/large.jpg,https://www.inaturalist.org/observations/353067325
Ceroxylon vogelianum,obs_345323129.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_vogelianum\obs_345323129.jpg,345323129,jorge1013,2026-03-26,,"(c) Jorge Montaño, all rights reserved",https://static.inaturalist.org/photos/629305272/large.jpg,https://www.inaturalist.org/observations/345323129
Ceroxylon vogelianum,obs_314154374.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_vogelianum\obs_314154374.jpg,314154374,danielmesa1,2025-09-13,cc-by,"(c) Daniel Mesa, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/567392993/large.jpg,https://www.inaturalist.org/observations/314154374
Ceroxylon vogelianum,obs_314153089.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Ceroxylon_vogelianum\obs_314153089.jpg,314153089,danielmesa1,2025-09-13,cc-by,"(c) Daniel Mesa, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/567390497/large.jpg,https://www.inaturalist.org/observations/314153089
Chamaedorea pumila,obs_59080081.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Chamaedorea_pumila\obs_59080081.jpg,59080081,ramon_d,2019-12-14,cc-by-nc,"(c) ramon_d, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/94371605/large.jpeg,https://www.inaturalist.org/observations/59080081
Chamaedorea pygmaea,obs_129453200.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Chamaedorea_pygmaea\obs_129453200.jpg,129453200,jlpena87,2020-10-25,cc-by-nc,"(c) Jorge L. Peña, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/219996847/large.jpeg,https://www.inaturalist.org/observations/129453200
Coccothrinax argentata,obs_378581503.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Coccothrinax_argentata\obs_378581503.jpg,378581503,jimw3,2026-07-05,cc-by-nc,"(c) James K. Wetterer, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/692411993/large.jpg,https://www.inaturalist.org/observations/378581503
